superFE,relation,subFE
7051,using,7056
7051,inheritance,13503
1513,inheritance,1767
1513,inheritance,1836
1513,inheritance,6055
1513,inheritance,6497
1513,inheritance,6599
1513,inheritance,10967
1513,precedes,5698
1513,using,9561
1513,using,10872
1816,inheritance,2069
1816,perspective_on,3908
1816,perspective_on,1513
1816,precedes,5708
2027,inheritance,1513
2027,precedes,2035
2077,inheritance,5713
2077,subframe,2035
2077,subframe,2031
2077,subframe,2027
3908,inheritance,10975
3908,precedes,5668
5657,subframe,5663
5657,subframe,3908
5657,subframe,5668
5663,precedes,3908
5693,precedes,1513
5703,perspective_on,5693
5703,perspective_on,5663
5703,precedes,1816
5708,perspective_on,5668
5708,perspective_on,5698
5713,subframe,5693
5713,subframe,1513
5713,subframe,5698
5726,inheritance,10962
5726,perspective_on,5657
5726,perspective_on,5713
5726,subframe,5703
5726,subframe,1816
5726,subframe,5708
7664,perspective_on,768
3235,causative_of,3247
1663,inheritance,10988
1663,precedes,1718
1663,precedes,1698
1663,using,2646
1663,using,6672
2264,perspective_on,37
2264,perspective_on,5960
9278,perspective_on,9273
9283,perspective_on,1560
9283,perspective_on,9278
9283,perspective_on,9361
9361,inheritance,9674
3748,see_also,6203
3748,using,10331
3748,using,10813
6447,perspective_on,3748
6447,perspective_on,5580
6447,using,1312
6447,using,4379
6455,causative_of,3748
13462,using,13484
13462,using,13508
13462,using,13513
2109,subframe,3
3644,causative_of,1455
3644,using,9091
3472,causative_of,3496
2718,precedes,3130
3085,perspective_on,5172
3085,perspective_on,5179
3085,subframe,4821
3085,subframe,4830
3085,subframe,4840
3085,using,6049
3091,precedes,3106
3106,precedes,3140
3120,precedes,2718
4821,perspective_on,3091
4821,perspective_on,3120
4821,precedes,4830
4830,perspective_on,2718
4830,perspective_on,3106
4830,precedes,4840
4840,inheritance,3140
4840,inheritance,3130
5172,subframe,3120
5172,subframe,2718
5172,subframe,3130
5179,subframe,3091
5179,subframe,3106
5179,subframe,3140
2719,precedes,3131
3086,perspective_on,5173
3086,perspective_on,5180
3086,subframe,4822
3086,subframe,4831
3086,subframe,4841
3092,precedes,3107
3107,precedes,3141
3121,precedes,2719
4822,perspective_on,3092
4822,perspective_on,3121
4822,precedes,4831
4831,perspective_on,2719
4831,perspective_on,3107
4831,precedes,4841
4841,inheritance,3141
4841,inheritance,3131
5173,subframe,3121
5173,subframe,2719
5173,subframe,3131
5180,subframe,3092
5180,subframe,3107
5180,subframe,3141
3289,using,9538
10259,inheritance,10117
10259,see_also,10250
10259,see_also,10117
4162,inheritance,6473
4162,inheritance,8238
156,inheritance,2500
156,inheritance,8284
156,using,2644
1020,inheritance,1815
1020,inheritance,2028
1020,inheritance,2
1020,inheritance,8382
1020,inheritance,8440
1020,inheritance,5895
1020,inheritance,547
1020,inheritance,609
1020,inheritance,1126
1020,inheritance,7976
1020,inheritance,10045
1020,using,1395
1020,using,1476
1020,using,268
1020,using,1696
1020,using,1575
1020,using,1734
1020,using,1710
1020,using,7720
1020,using,1289
1020,using,8357
1595,inheritance,1863
1595,inheritance,1865
1595,inheritance,7016
1595,inheritance,4454
1595,using,5515
1595,inheritance,1323
1595,inheritance,13793
1595,inheritance,13795
1595,inheritance,13797
1595,inheritance,13799
2111,using,5456
2133,causative_of,2194
2194,inheritance,9796
2194,using,5809
2194,using,5814
2404,inheritance,2925
2404,inheritance,4027
2404,inheritance,9987
2404,inheritance,6925
2404,using,9231
2404,inheritance,1894
2404,inheritance,13266
2404,inheritance,9386
2404,inheritance,13801
2925,inheritance,2257
2925,inheritance,5975
2925,inheritance,2665
2925,inheritance,3755
2925,inheritance,3728
2925,inheritance,6326
2925,inheritance,4091
2925,inheritance,4015
2925,inheritance,1465
2925,inheritance,6793
2925,inheritance,6988
2925,inheritance,4130
2925,inheritance,10416
2925,inheritance,7457
2925,inheritance,12988
2925,inheritance,13068
2925,inheritance,13226
2925,inheritance,13395
3023,inchoative_of,4454
